Día;Fecha;Inicio solicitud;Fin solicitud;Cuadrillas;N°;Identificador;Caso;Tipo;Tipo de faena;Sector afectado;Dirección de referencia;Objeto de referencia;Jerarquía de red;Tipo de contexto;ID del contexto;Descripción del trabajo;Resultado;Área solicitante;Solicitante;Área de cobertura;Clientes afectados;Inicio planificado;Fin planificado;Duración planificada;Duración de tareas programadas;Tiempo excedido;Inicio corte real;Fin corte real;Duración corte real;Observaciones;Estado;Circuito de aprobación;Comentarios de cierre
MIéRCOLES;2023-01-04;08:00:00;15:00:00;OP-Guardia AT La Plata;11;PI-2023-00022;966685;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-599;;Plan de Mantenimiento;Semana 1;L. 599: Poda;Cancelada;Transmisión;victor faes;San Carlos;0;;;;07:00:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
MIéRCOLES;2023-01-04;08:00:00;15:00:00;OP-Guardia AT La Plata;12;PI-2023-00023;966684;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-A-IN-56;;Plan de Mantenimiento;Semana 1;L. 56: Desmalezar base de Torre ;Cancelada;Transmisión;victor faes;San Carlos;0;;;;07:05:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
MIéRCOLES;2023-01-04;08:00:00;15:00:00;OP-Guardia AT La Plata;13;PI-2022-04545;966683;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-599;;Plan de Mantenimiento;Semana 1- 2023;L. 599: Poda ;Pendiente;Transmisión;Jose Molteni;San Carlos;0;;;;04:00:00;;;;;;abierta, en definición, suspendida (Error de operador);Circuito de aprobación normal;
MIéRCOLES;2023-01-04;09:00:00;13:00:00;;14;PI-2022-04533;966640;Corte solicitado por tercero;Trabajo solicitado por tercero;;RP11 Generadora APR Energy;19414-2 Fte a CTM;19414-1 [194 MAGDALENA];Solicitud Terceros;04012023;Mantenimiento interno generador APR Energy;Normal;Transmisión;david borio;Magdalena;0;09:12:22;12:58:10;03:45:48;04:30:00;00:00:00;;;;Y79';cerrada (hecha);Circuito de aprobación normal;
MIéRCOLES;2023-01-04;10:00:00;18:00:00;;15;PI-2022-04529;966410;Permiso de trabajo en MT;Mantenimiento Preventivo;Cliente Est serv YPF Dg 73 y 120;DG.73 E/71 Y 72;172041;09318 [093 ROCHA];Plan de Mantenimiento;I-0002112;Colocación de columna H°A°, montaje de Plat y modificaciones en subida CASMT ;Cancelada;Redes Subterráneas;Simon Tello;La Plata;0;;;;10:20:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;Limpieza bandeja, pedidos ya vencidos.
MIéRCOLES;2023-01-04;12:50:19;15:00:00;GUARDIA ZONAL 2;16;PI-2023-00005;966124;Permiso de trabajo en MT;Mantenimiento Correctivo;ruta 53 esde ruta 6 hasta el final de linea;R.53 KM 12.5;171914;09233 [092 KAISER];Plan de Mantenimiento;m-014684;atado de fases;Normal;Brandsen;luis lauxmann;Brandsen;24;09:34:22;16:58:47;07:24:25;05:35:00;00:00:00;09:34:22;16:58:47;07:24:25;...;cerrada (hecha);Fuera de plazo;
JUEVES;2023-01-05;08:00:00;11:00:00;Javier Zanardi, benitez P;17;PI-2022-04512;966414;Permiso de trabajo en BT;Obra nueva instalacion;lotes 203, 204, 205, 206 y 216;N°217 - lote 1217 de grand bell 2 (Joaquín Gorina);43762887;172637T3BD13S2 [Buzon Dist. N° 13] / 09907 [099 CITY BELL];Ingeniería y Obras;117042;nueva conexion en lote 1217 de grand bell 2;Cancelada;Planificación;gabriel escalante;Joaquín Gorina;5;10:00:45;08:45:50;22:45:04;03:10:00;21:35:50.412;10:00:45;13:51:41;03:50:55;NORMALIZADO;cerrada, cancelada (Indisponibilidad por Razones Operativas);Circuito de aprobación normal;
JUEVES;2023-01-05;08:00:00;16:00:00;OP-Guardia AT La Plata;18;PI-2022-04547;966982;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-594;;Plan de Mantenimiento;SEMANA 1-2023;PODA E/S L.594;Normal;Transmisión;Jose Molteni;San Carlos;0;;;;00:05:00;;;;;tareas de poda realizadas;cerrada (hecha);Circuito de aprobación normal;
JUEVES;2023-01-05;08:00:00;14:00:00;;19;PI-2023-00031;;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 36 y circunvalación (Verónica);195-SI;[195 VERONICA];Plan de Mantenimiento;Semana 1;SEVerónica SI A: Mantenimiento celda, trafo, rupto, interruptor. ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-01-05;08:00:00;15:00:00;OP-Guardia AT La Plata;20;PI-2023-00011;966986;Cambio de configuración de la red;Obra nueva instalacion;No afecta clientes;467 9 y Cno. Belgrano entre 26 y 24 (City Bell);467/24 y 26;09250 [092 KAISER];Ingeniería y Obras;117043;Colocación de protección raychem en salidas reconectadores en centro de rebaje 33/13,2 Kv SE City Bell y ejecución de terminales MT en reconectadores 3 y 4;Cancelada;Planificación;José Garcia;City Bell;0;;;;04:00:00;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;w
JUEVES;2023-01-05;09:00:00;11:30:00;bruno Paulo;21;PI-2023-00003;966415;Permiso de trabajo en BT;Mantenimiento Preventivo;;90 e/29 y 30;172210;09408 [094 SUR];Plan de Mantenimiento;004;COLOCACION DE TI PARA MEDICION COMUNITARIA;Normal;Comercial;Carolina Muraca;Altos de San Lorenzo;1;08:59:08;10:18:59;01:19:50;02:35:00;00:00:00;08:59:08;10:18:59;01:19:50;...;cerrada (hecha);Circuito de aprobación normal;
JUEVES;2023-01-05;09:15:00;12:00:00;;22;PI-2023-00013;966798;Permiso de trabajo en MT;Mantenimiento Correctivo;circ 14 hasta 22 y de Mitre hasta 3ra;Circunvalacion 14 entre Alberdi y Circunvalacion 3ra (Verónica);A 220836 y 220911;19515 [195 VERONICA];Solicitud Terceros;Municipalidad de Pta Indio;Poda de arbol;Normal;Verónica;juan guarella;Verónica;232;10:38:26;14:44:05;04:05:39;05:25:00;00:04:05.448;10:38:26;14:42:33;04:04:07;...;cerrada (hecha);Circuito de aprobación normal;
JUEVES;2023-01-05;15:00:00;19:00:00;OP-Guardia AT Dique;23;PI-2023-00062;967297;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Correctivo;;Cno. Vergara y 130 (Ensenada);096-TR1;;Plan de Mantenimiento;Sem 01;Ventillación TR1 SE Dique;Normal;Transmisión;nestor vicente;Ensenada;0;;;;07:20:00;;;;;realizado;cerrada (hecha);Fuera de plazo;
VIERNES;2023-01-06;07:00:00;14:00:00;;24;PI-2023-00014;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-E-RF-SIB;19003 [190 LA PLATA];Plan de Mantenimiento;semana 01;Ensayo banco de baterias nro 2;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Circuito de aprobación normal;
VIERNES;2023-01-06;07:30:22;13:00:22;OP-Mant Subt -E1;25;PI-2023-00040;967669;Permiso de trabajo en MT;Mantenimiento Preventivo;;DISCO 47 E/ 30 Y 31;171372;09513 [095 PAZ];Plan de Mantenimiento;004;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Normal;Programación de operación - Distribución;juan coto;La Plata;0;;;;05:30:00;;;;;.;cerrada (hecha);Fuera de plazo;
VIERNES;2023-01-06;07:30:22;13:00:22;OP-Mant Subt -E1;26;PI-2023-00039;967667;Permiso de trabajo en MT;Mantenimiento Preventivo;;18 E/ 51 Y 53;170124;09509 [095 PAZ];Plan de Mantenimiento;003;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Normal;Programación de operación - Distribución;juan coto;La Plata;0;;;;05:30:00;;;;;.;cerrada (hecha);Fuera de plazo;
VIERNES;2023-01-06;07:30:22;13:00:22;OP-Mant Subt -E1;27;PI-2023-00038;967668;Permiso de trabajo en MT;Mantenimiento Preventivo;;O.S.B.A. PARQUE SAN MARTIN 25 Y 53;170028;09514 [095 PAZ];Plan de Mantenimiento;002;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Normal;Programación de operación - Distribución;juan coto;La Plata;0;;;;05:30:00;;;;;.;cerrada (hecha);Fuera de plazo;
VIERNES;2023-01-06;07:30:22;13:00:22;OP-Mant Subt -E1;28;PI-2023-00037;967666;Permiso de trabajo en MT;Mantenimiento Preventivo;;9 Y 38;170917;09818 [098 TOLOSA];Plan de Mantenimiento;001;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Normal;Programación de operación - Distribución;juan coto;La Plata;0;;;;05:30:00;;;;;.;cerrada (hecha);Fuera de plazo;
VIERNES;2023-01-06;08:00:00;16:00:00;;29;PI-2022-04548;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-584;;Plan de Mantenimiento;SEMANA 1 -2023;PODA E/S L.584;Normal;Transmisión;Jose Molteni;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Circuito de aprobación normal;
VIERNES;2023-01-06;18:00:00;23:00:00;;30;PI-2022-04480;967662;Permiso de trabajo en MT;Obra nueva instalacion;de 6 a 2 y de 61 a 65;4 entre 62 y 61 (La Plata);CS 4 e/61 y 62;09320 [093 ROCHA];Ingeniería y Obras;1041279;desprender casmt de caja secc de 171060 con destno a 172011 para tareas en esta ultima camra el dia 04/01/23;Normal;Redes Subterráneas;mariano blanco;La Plata;7941;;;;;;20:07:49;10:39:14;1 day 14:31:24;J;cerrada (hecha);Fuera de plazo;C
SáBADO;2023-01-07;07:00:00;14:00:00;;31;PI-2023-00015;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Rta. 2 y 514;092-E-IN-SIB;[092 KAISER];Plan de Mantenimiento;semana 01;Ensayo interruptor y prot maxima corriente;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
SáBADO;2023-01-07;08:00:00;14:00:00;;32;PI-2023-00033;;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515 (Abasto);092-SIA;[092 KAISER];Plan de Mantenimiento;Semana 1;SE Kaiser SI A: Mantenimiento celda, trafo, rupto, interruptor. ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
SáBADO;2023-01-07;08:00:00;14:00:00;;33;PI-2023-00032;;Permiso de trabajo en AT;Mantenimiento Preventivo;;ruta 2 y 515 (Abasto);092-SIB;[092 KAISER];Plan de Mantenimiento;Semana 1;SE Kaiser SI B: Mantenimiento celda, trafo, rupto, interruptor. ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
SáBADO;2023-01-07;08:00:00;19:00:00;;34;PI-2023-00012;;PIFS Programado MT sin Modificación de Red;Mantenimiento Correctivo;Zona Franca y Astillero Rio Santiago;LAS PALMERAS Y LOS FRESNOS-ZONA FRANCA;300158;09657 [096 DIQUE];Plan de Mantenimiento;I0002133;elevar LAMT en partes muy baja : peticion de la Administracion de Zona franca ;Cancelada;Redes Aéreas;guillermo petruzzi;;;;;;;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
SáBADO;2023-01-07;08:00:00;19:00:00;;35;PI-2022-04419;;PIFS Programado MT sin Modificación de Red;Mantenimiento Correctivo;Zona Franca y Astillero Rio Santiago;LAS PALMERAS Y LOS FRESNOS-ZONA FRANCA;300158;09657 [096 DIQUE];Plan de Mantenimiento;I0002133;elevar LAMT en partes muy baja : peticion de la Administracion de Zona franca ;Cancelada;Redes Aéreas;guillermo petruzzi;;;;;;;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
SáBADO;2023-01-07;08:30:00;19:00:00;;36;PI-2023-00029;967658;Permiso de trabajo en MT;Mantenimiento Correctivo;Zona franca ;LAS PALMERAS Y LOS FRESNOS-ZONA FRANCA;300158;09657 [096 DIQUE];Plan de Mantenimiento;I0002133;elevar lineas MT;Normal;Redes Aéreas;guillermo petruzzi;Ensenada;135;18:46:06;19:16:18;00:30:12;08:15:00;02:31:18.882;08:56:56;18:48:51;09:51:54;PIFS;cerrada (hecha);Circuito de aprobación normal;
SáBADO;2023-01-07;09:00:00;20:00:00;;37;PI-2022-04479;967725;Permiso de trabajo en MT;Obra nueva instalacion;cliente puntual, bagó;62 E/ 4 Y 5;172011;09316 [093 ROCHA];Ingeniería y Obras;1041279;colocar 2 celdas sf6 en camara 172011, solo se colocaran las celdas no los cables de mt en esta etapa;Normal;Redes Subterráneas;mariano blanco;La Plata;1;10:48:04;21:35:48;10:47:44;12:20:00;00:15:48.057;10:23:35;20:58:19;10:34:43;programado;cerrada (hecha);Circuito de aprobación normal;
SáBADO;2023-01-07;21:00:00;23:45:00;;38;PI-2023-00019;;Permiso de trabajo en MT;Obra nueva instalacion;de 6 a 2 y de 61 a 65;4 entre 62 y 61 (La Plata);CS 4 e/61 y 62;09320 [093 ROCHA];Ingeniería y Obras;1041279;prender casmt de caja secc de 171060 con destno a 172011 para tareas en esta ultima camra el dia 04/01/23;Normal;Redes Subterráneas;mariano blanco;;;;;;;;;;;;abierta, en definición, suspendida (Error de operador);Circuito de aprobación normal;
DOMINGO;2023-01-08;07:00:00;14:00:00;;39;PI-2023-00016;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Rta. 2 y 514;092-E-IN-SIA;[092 KAISER];Plan de Mantenimiento;Semana 01;Ensayo interruptor y proteccion maxima corriente;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
DOMINGO;2023-01-08;08:00:00;14:00:00;;40;PI-2022-04534;966423;Permiso de trabajo en BT;Obra estructural;Ministerio de Salud de la Prov de Bs As. Se coordina con Cliente.;18 E/ 51 Y 53;170124;09509 [095 PAZ];Ingeniería y Obras;OT-116911;Agregar bases unip a tablero de BT en cámara 170124 (18 e/ 51 y 53) para salida nueva de CASBT hacia 18 y 53 ESTE. Se requiere abrir RUPTO trafo para instalar las bases.;Cancelada;Planificación;luciano canepa;La Plata;0;;;;06:05:00;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;
DOMINGO;2023-01-08;09:00:00;15:00:00;;41;PI-2023-00020;967487;Permiso de trabajo en MT;Obra nueva instalacion;de 6 a 2 y de 61 a 65;4 entre 62 y 61 (La Plata);CS 4 e/61 y 62;09320 [093 ROCHA];Ingeniería y Obras;1041279;prender casmt de caja secc de 171060 con destno a 172011 para tareas en esta ultima camra el dia 04/01/23;Cancelada;Redes Subterráneas;mariano blanco;La Plata;0;;;;00:02:00;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;ejecutado
LUNES;2023-01-09;07:00:00;14:00:00;OP-Guardia AT Dique;42;PI-2023-00085;968411;Permiso de trabajo en AT;Mantenimiento Correctivo;;Destileria La Plata;B1a5A;;Plan de Mantenimiento;Semana 2;Señalización Interruptor B1a5A y Seccionador B1aC;Cancelada;Transmisión;Maximiliano Yordaz;Ensenada;0;;;;10:05:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Fuera de plazo;Limpieza badeja, pedidos vencidos.
LUNES;2023-01-09;07:30:22;13:00:22;;43;PI-2023-00044;967670;Permiso de trabajo en MT;Mantenimiento Preventivo;;ACERIAS BERISSO 128 E/ 61 Y 62;310107;09613 [096 DIQUE];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Berisso;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
LUNES;2023-01-09;07:30:22;13:00:22;;44;PI-2023-00043;967672;Permiso de trabajo en MT;Mantenimiento Preventivo;;75 E/7 Y 8;170367;09612 [096 DIQUE];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Villa Elvira;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
LUNES;2023-01-09;07:30:22;13:00:22;;45;PI-2023-00042;967673;Permiso de trabajo en MT;Mantenimiento Preventivo;;76 Y 11 CARCEL ENCAUSADOS;170525;8016 [080 CENTRO PAZ] / 09504 [080 CENTRO PAZ] / 09504 [095 PAZ];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Villa Elvira;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
LUNES;2023-01-09;07:30:22;13:00:22;;46;PI-2023-00041;967671;Permiso de trabajo en MT;Mantenimiento Preventivo;;HTAL.SAN JUAN DE DIOS 70 E/27 Y 28;171077;09502 [095 PAZ];Plan de Mantenimiento;005;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;La Plata;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
LUNES;2023-01-09;08:00:00;15:00:00;OP-Guardia AT La Plata;47;PI-2023-00102;968409;Permiso de trabajo en AT;Mantenimiento Preventivo;;Ruta 11 y 601;EST_B12A5ST;;Plan de Mantenimiento;Semana 02;L. 600: Reparación Tierras sueltas HG.;Excedida;Transmisión;victor faes;Villa Elvira;0;05:51:26;05:51:51;00:00:25;09:05:00;1 day 12:46:51.356;;;;realizado;cerrada (hecha);Fuera de plazo;
LUNES;2023-01-09;08:00:00;17:00:00;OP-Guardia AT Dique;48;PI-2023-00101;968410;Permiso de trabajo en AT;Mantenimiento Preventivo;;Destileria La Plata;600;;Plan de Mantenimiento;Semana 02;SE YPF L. 600: Mant. equipos. ;Cancelada;Transmisión;victor faes;Ensenada;0;;;;09:05:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;Realizado
LUNES;2023-01-09;08:00:00;15:00:00;;49;PI-2023-00099;968449;Permiso de trabajo en MT;Mantenimiento Preventivo;Traza de alimentador.-;528 E 146 y 147;19016 [190 LA PLATA];[190 LA PLATA];Plan de Mantenimiento;AVISO I0002173;Poda preventiva programada sobre traza de alimentador 19016;Normal;Redes Aéreas;lucrecia heit;San Carlos;0;;;;02:12:56;;;;;PODA PROGRAMADA;cerrada (hecha);Fuera de plazo;
LUNES;2023-01-09;10:15:00;16:00:00;;50;PI-2023-00117;;Trabajo en proximidad de instalaciones energizadas;Obra estructural;;601 entre 127 y RP11 (Villa Elvira);199-E-IN-AC12;;Ingeniería y Obras;Obra sección 1 13,2 kV SE Este;Tendido de cables de comando para habilitación de TR 1. Montaje de celdas Sección 1 de 13,2 kV.;Cancelada;Planificación;Pablo Romanini;;;;;;;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
LUNES;2023-01-09;14:30:00;17:00:00;;51;PI-2023-00119;968680;Permiso de trabajo en AT;Mantenimiento Correctivo;;Ruta 11 y 601;199-B-SE-600;;Plan de Mantenimiento;Sem 2;Punto caliente + Mant Secc Terminal L.600 SE Este;Excedida;Transmisión;nestor vicente;Villa Elvira;0;19:33:07;05:54:31;1 day 10:21:24;00:05:21;1 day 15:19:10.478;;;;Mapro Secc Terminal;cerrada (hecha);Fuera de plazo;
MARTES;2023-01-10;07:00:00;14:00:00;;52;PI-2023-00086;968874;Permiso de trabajo en AT;Mantenimiento Correctivo;;Rta. 2 y 514;092-E-IN-25;;Plan de Mantenimiento;Semana 02;No funciona indicación desenganche sano;Cancelada;Transmisión;Maximiliano Yordaz;Abasto;0;;;;00:05:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
MARTES;2023-01-10;07:30:22;13:00:22;;53;PI-2023-00048;967688;Permiso de trabajo en MT;Mantenimiento Preventivo;;12 entre 518 y 517;171004;09850 [098 TOLOSA];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Ringuelet;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
MARTES;2023-01-10;07:30:22;13:00:22;;54;PI-2023-00047;967687;Permiso de trabajo en MT;Mantenimiento Preventivo;;ALBANO COZZUOL S.A. 12 E/517 Y 518;171004;09850 [098 TOLOSA];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Ringuelet;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
MARTES;2023-01-10;07:30:22;13:00:22;;55;PI-2023-00046;967685;Permiso de trabajo en MT;Mantenimiento Preventivo;;17 E/510 Y 511;170532;09806 [098 TOLOSA];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Manuel B. Gonnet;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
MARTES;2023-01-10;07:30:22;13:00:22;;56;PI-2023-00045;967686;Permiso de trabajo en MT;Mantenimiento Preventivo;;COM. INVEST. CIENTIFICAS 508 Y 15;170672;09908 [099 CITY BELL];Plan de Mantenimiento;006;Acceso a camara a nivel para contraste en de medicion en bornera auxiliar. La tarea se realiza sin corte;Cancelada;Programación de operación - Distribución;juan coto;Manuel B. Gonnet;0;;;;05:30:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;
MARTES;2023-01-10;08:00:00;11:00:00;;57;PI-2023-00034;967270;Permiso de trabajo en BT;Mantenimiento Preventivo;Calle 59 de 12 a 13 lado par.;59 entre 12 y Avenida 13 (La Plata);3673820,...;170013T1S3 [170013] / 8013 [080 CENTRO PAZ] / 09812 [080 CENTRO PAZ] / 09811 [098 TOLOSA];Ingeniería y Obras;OT-117042;Retiro de conexión de obra en desuso en calle 59 N° 864 e/ 12 y 13.;Cancelada;Planificación;luciano canepa;La Plata;0;;;;03:05:00;;;;;;cerrada, cancelada (Cancelado por Encargado de Trabajo);Circuito de aprobación normal;baja medica
